Linux 5.14.0-570.62.1.el9_6.x86_64 (sample-server) 	04/01/26 	_x86_64_	(64 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:10:00         57      0.04      0.00      0.22      0.00      0.00      0.01      0.01      0.00      0.00     99.72
06:10:00         58      0.05      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.77
06:10:00         59      0.06      0.00      0.29      0.00      0.00      0.02      0.01      0.00      0.00     99.62
06:10:00         60      0.33      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.51
06:10:00         61      0.36      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.47
06:10:00         62      0.33      0.00      0.12      0.00      0.00      0.66      0.01      0.00      0.00     98.88
06:10:00         63      0.39      0.00      0.11      0.00      0.00      0.66      0.01      0.00      0.00     98.83
06:20:00        all      0.23      0.00      0.18      0.00      0.00      0.03      0.02      0.00      0.00     99.54
06:20:00          0      0.31      0.00      0.15      0.00      0.00      0.04      0.31      0.00      0.00     99.19
06:20:00          1      0.31      0.00      0.19      0.00      0.00      0.02      0.06      0.00      0.00     99.42
06:20:00          2      0.31      0.00      0.19      0.00      0.00      0.02      0.03      0.00      0.00     99.45
06:20:00          3      0.30      0.00      0.24      0.00      0.00      0.02      0.02      0.00      0.00     99.42
06:20:00          4      0.07      0.00      0.10      0.00      0.00      0.01      0.01      0.00      0.00     99.80
06:20:00          5      0.07      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.74
06:20:00          6      0.12      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.74
06:20:00          7      0.38      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.48
06:20:00          8      0.34      0.00      0.19      0.00      0.00      0.01      0.01      0.00      0.00     99.44
06:20:00          9      0.33      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.50
06:20:00         10      0.35      0.00      0.22      0.00      0.00      0.01      0.01      0.00      0.00     99.41
06:20:00         11      0.46      0.00      0.14      0.00      0.00      0.01      0.01      0.00      0.00     99.37
06:20:00         12      0.16      0.00      0.28      0.00      0.00      0.02      0.01      0.00      0.00     99.53
06:20:00         13      0.19      0.00      0.22      0.00      0.00      0.01      0.01      0.00      0.00     99.57
06:20:00         14      0.18      0.00      0.19      0.00      0.00      0.01      0.01      0.00      0.00     99.61
06:20:00         15      0.20      0.00      0.24      0.00      0.00      0.02      0.01      0.00      0.00     99.54
06:20:00         16      0.01      0.00      0.04      0.00      0.00      0.00      0.00      0.00      0.00     99.95
06:20:00         17      0.01      0.00      0.03      0.00      0.00      0.00      0.00      0.00      0.00     99.95
06:20:00         18      0.04      0.00      0.11      0.00      0.00      0.01      0.00      0.00      0.00     99.84
06:20:00         19      0.12      0.00      0.09      0.00      0.00      0.01      0.01      0.00      0.00     99.78
06:20:00         20      0.17      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.69
06:20:00         21      0.18      0.00      0.24      0.00      0.00      0.02      0.01      0.00      0.00     99.56
06:20:00         22      0.17      0.00      0.35      0.00      0.00      0.02      0.01      0.00      0.00     99.44
06:20:00         23      0.16      0.00      0.52      0.00      0.00      0.02      0.01      0.00      0.00     99.29
06:20:00         24      0.12      0.00      0.18      0.00      0.00      0.02      0.01      0.00      0.00     99.67
06:20:00         25      0.31      0.00      0.11      0.00      0.00      0.01      0.01      0.00      0.00     99.56
06:20:00         26      0.08      0.00      0.10      0.00      0.00      0.01      0.01      0.00      0.00     99.80
06:20:00         27      0.13      0.00      0.09      0.00      0.00      0.01      0.01      0.00      0.00     99.77
06:20:00         28      0.30      0.00      0.17      0.00      0.00      0.01      0.01      0.00      0.00     99.52
06:20:00         29      0.28      0.00      0.26      0.00      0.00      0.02      0.02      0.00      0.00     99.43
06:20:00         30      0.29      0.00      0.25      0.00      0.00      0.02      0.01      0.00      0.00     99.43
06:20:00         31      0.27      0.00      0.15      0.00      0.00      0.01      0.01      0.00      0.00     99.56
06:20:00         32      0.31      0.00      0.18      0.00      0.00      0.04      0.04      0.00      0.00     99.43
06:20:00         33      0.30      0.00      0.21      0.00      0.00      0.02      0.02      0.00      0.00     99.46
06:20:00         34      0.29      0.00      0.11      0.00      0.00      0.02      0.01      0.00      0.00     99.57
06:20:00         35      0.30      0.00      0.27      0.00      0.00      0.02      0.02      0.00      0.00     99.39
06:20:00         36      0.59      0.00      0.08      0.00      0.00      0.01      0.01      0.00      0.00     99.31
06:20:00         37      0.42      0.00      0.12      0.00      0.00      0.02      0.02      0.00      0.00     99.43
06:20:00         38      0.72      0.00      0.13      0.00      0.00      0.02      0.01      0.00      0.00     99.12
06:20:00         39      0.68      0.00      0.09      0.00      0.00      0.01      0.01      0.00      0.00     99.22
06:20:00         40      0.35      0.00      0.12      0.00      0.00      0.01      0.01      0.00      0.00     99.51
06:20:00         41      0.30      0.00      0.16      0.00      0.00      0.01      0.01      0.00      0.00     99.51
